Categoría,# Origen,Tipo Equipo/Rol,Sede,Área / Ubicación,Hostname / Nombre,Marca,Modelo,Marca / Modelo,Serial / Código,IP Principal,IP Gestión,IP WAN,IP LAN,VLAN,Estado,Rol / Función,Observaciones,Fuente
Cámaras CCTV,9,Cámara IP,Teusaquillo,Cafetería - Interior,Cafetería,Hikvision,DS-2CD2143G2-I,Hikvision DS-2CD2143G2-I,,10.10.13.9,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-TEU-01,Resolución: 4MP,inventario||Inventario Cámaras
Cámaras CCTV,10,Cámara IP,Teusaquillo,Sala Reuniones 1 - Interior,Sala Reuniones 1,Dahua,IPC-HDW2849H,Dahua IPC-HDW2849H,,10.10.13.10,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-TEU-01,Resolución: 4MP,inventario||Inventario Cámaras
Cámaras CCTV,11,Cámara IP,Teusaquillo,Sala Reuniones 2 - Interior,Sala Reuniones 2,Dahua,IPC-HDW2849H,Dahua IPC-HDW2849H,,10.10.13.11,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-TEU-01,Resolución: 4MP,inventario||Inventario Cámaras
Cámaras CCTV,12,Cámara IP,Teusaquillo,Bodega TI - Interior,Bodega TI,Hikvision,DS-2CD2083G2,Hikvision DS-2CD2083G2,,10.10.13.12,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-TEU-02,Resolución: 8MP,inventario||Inventario Cámaras
Cámaras CCTV,13,Cámara IP,Campus,Acceso Principal - Exterior,Acceso Principal,Hikvision,DS-2CD2H83G2-IZS,Hikvision DS-2CD2H83G2-IZS,,10.20.13.1,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-CAM-01,Resolución: 8MP,inventario||Inventario Cámaras
Cámaras CCTV,14,Cámara IP,Campus,Recepción - Interior,Recepción,Dahua,IPC-HDW3849H-AS-PV,Dahua IPC-HDW3849H-AS-PV,,10.20.13.2,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-CAM-01,Resolución: 8MP,inventario||Inventario Cámaras
Cámaras CCTV,15,Cámara IP,Campus,Bodega Producción - Interior,Bodega Producción,Axis,P1448-LE,Axis P1448-LE,,10.20.13.3,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-CAM-01,Resolución: 8MP,inventario||Inventario Cámaras
Cámaras CCTV,16,Cámara IP,Campus,Pasillo A Piso 1 - Interior,Pasillo A Piso 1,Hikvision,DS-2CD2143G2,Hikvision DS-2CD2143G2,,10.20.13.4,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-CAM-01,Resolución: 4MP,inventario||Inventario Cámaras
Cámaras CCTV,17,Cámara IP,Campus,Pasillo B Piso 1 - Interior,Pasillo B Piso 1,Hikvision,DS-2CD2143G2,Hikvision DS-2CD2143G2,,10.20.13.5,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-CAM-01,Resolución: 4MP,inventario||Inventario Cámaras
Cámaras CCTV,18,Cámara IP,Campus,Pasillo Piso 2 - Interior,Pasillo Piso 2,Axis,P3245-V,Axis P3245-V,,10.20.13.6,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-CAM-01,Resolución: 2MP,inventario||Inventario Cámaras
Cámaras CCTV,19,Cámara IP,Campus,Perímetro Ext. Norte - Exterior,Perímetro Ext. Norte,Axis,Q6135-LE PTZ,Axis Q6135-LE PTZ,,10.20.13.7,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-CAM-02,Resolución: 2MP,inventario||Inventario Cámaras
Cámaras CCTV,20,Cámara IP,Campus,Perímetro Ext. Sur - Exterior,Perímetro Ext. Sur,Dahua,SD49425XB-HNR PTZ,Dahua SD49425XB-HNR PTZ,,10.20.13.8,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-CAM-02,Resolución: 4MP,inventario||Inventario Cámaras
Cámaras CCTV,21,Cámara IP,Campus,Sala Servidores - Interior,Sala Servidores,Hikvision,DS-2CD2T47G2,Hikvision DS-2CD2T47G2,,10.20.13.9,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-CAM-02,Resolución: 4MP,inventario||Inventario Cámaras
Cámaras CCTV,22,Cámara IP,Campus,Auditorio - Interior,Auditorio,Axis,P3245-V,Axis P3245-V,,10.20.13.10,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-CAM-02,Resolución: 2MP,inventario||Inventario Cámaras
Cámaras CCTV,23,Cámara IP,Campus,Parqueadero - Exterior,Parqueadero,Hikvision,DS-2CD2T85FWD,Hikvision DS-2CD2T85FWD,,10.20.13.11,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-CAM-02,Resolución: 8MP,inventario||Inventario Cámaras
Cámaras CCTV,24,Cámara IP,Campus,Área Producción - Interior,Área Producción,Dahua,IPC-HFW5849T1-ASE,Dahua IPC-HFW5849T1-ASE,,10.20.13.12,,,,VLAN 130,✅ Activo,CCTV / NVR: NVR-CAM-02,Resolución: 8MP,inventario||Inventario Cámaras
Switches,1,🔴 Core L3,Teusaquillo,Cuarto de Telecomunicaciones P1,SW-TEU-CORE-01,Cisco,Catalyst 9300-48P,Cisco Catalyst 9300-48P,SN-TEU-SW-0001,,10.10.99.11,,,VLAN 999,✅ Activo,🔴 Core L3,Puertos: 48x1G + 4x10G SFP+ | PoE: Sí,sw_router_ap||Inventario Switches
Switches,2,🔴 Core L3,Teusaquillo,Cuarto de Telecomunicaciones P1,SW-TEU-CORE-02,Cisco,Catalyst 9300-48P,Cisco Catalyst 9300-48P,SN-TEU-SW-0002,,10.10.99.12,,,VLAN 999,✅ Activo,🔴 Core L3,Puertos: 48x1G + 4x10G SFP+ | PoE: Sí,sw_router_ap||Inventario Switches
Switches,3,🟠 Distribución L3,Teusaquillo,Rack Piso 1,SW-TEU-DIST-01,MikroTik,CRS354-48G-4S+2Q+,MikroTik CRS354-48G-4S+2Q+,SN-TEU-SW-0003,,10.10.99.13,,,VLAN 999,✅ Activo,🟠 Distribución L3,Puertos: 48x1G + 4x10G + 2x40G | PoE: No,sw_router_ap||Inventario Switches
Switches,4,🟠 Distribución L3,Teusaquillo,Rack Piso 2,SW-TEU-DIST-02,MikroTik,CRS354-48G-4S+2Q+,MikroTik CRS354-48G-4S+2Q+,SN-TEU-SW-0004,,10.10.99.14,,,VLAN 999,✅ Activo,🟠 Distribución L3,Puertos: 48x1G + 4x10G + 2x40G | PoE: No,sw_router_ap||Inventario Switches
Switches,5,🟠 Distribución L3,Teusaquillo,Rack Piso 3,SW-TEU-DIST-03,MikroTik,CRS326-24G-2S+,MikroTik CRS326-24G-2S+,SN-TEU-SW-0005,,10.10.99.15,,,VLAN 999,✅ Activo,🟠 Distribución L3,Puertos: 24x1G + 2x10G SFP+ | PoE: No,sw_router_ap||Inventario Switches
Switches,6,🟠 Distribución L3,Teusaquillo,Rack Piso 4,SW-TEU-DIST-04,MikroTik,CRS326-24G-2S+,MikroTik CRS326-24G-2S+,SN-TEU-SW-0006,,10.10.99.16,,,VLAN 999,✅ Activo,🟠 Distribución L3,Puertos: 24x1G + 2x10G SFP+ | PoE: No,sw_router_ap||Inventario Switches
Switches,7,🟢 Acceso L2,Teusaquillo,Contabilidad - P1,SW-TEU-ACC-01,TP-Link,TL-SG3428XMP,TP-Link TL-SG3428XMP,SN-TEU-SW-0007,,10.10.99.21,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 24x1G + 4x10G SFP+ | PoE: Sí (384W),sw_router_ap||Inventario Switches
Switches,8,🟢 Acceso L2,Teusaquillo,RRHH - P1,SW-TEU-ACC-02,TP-Link,TL-SG3428XMP,TP-Link TL-SG3428XMP,SN-TEU-SW-0008,,10.10.99.22,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 24x1G + 4x10G SFP+ | PoE: Sí (384W),sw_router_ap||Inventario Switches
Switches,9,🟢 Acceso L2,Teusaquillo,Mercadeo - P2,SW-TEU-ACC-03,TP-Link,TL-SG3428X,TP-Link TL-SG3428X,SN-TEU-SW-0009,,10.10.99.23,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 24x1G + 4x10G SFP+ | PoE: No,sw_router_ap||Inventario Switches
Switches,10,🟢 Acceso L2,Teusaquillo,Producción - P2,SW-TEU-ACC-04,TP-Link,TL-SG3428XMP,TP-Link TL-SG3428XMP,SN-TEU-SW-0010,,10.10.99.24,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 24x1G + 4x10G SFP+ | PoE: Sí (384W),sw_router_ap||Inventario Switches
Switches,11,🟢 Acceso L2,Teusaquillo,Gerencia - P3,SW-TEU-ACC-05,Cisco,CBS350-24P-4X,Cisco CBS350-24P-4X,SN-TEU-SW-0011,,10.10.99.25,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 24x1G + 4x10G SFP+ | PoE: Sí (195W),sw_router_ap||Inventario Switches
Switches,12,🟢 Acceso L2,Teusaquillo,TI - P3,SW-TEU-ACC-06,Cisco,CBS350-24P-4X,Cisco CBS350-24P-4X,SN-TEU-SW-0012,,10.10.99.26,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 24x1G + 4x10G SFP+ | PoE: Sí (195W),sw_router_ap||Inventario Switches
Switches,13,🟢 Acceso L2,Teusaquillo,Financiera - P3,SW-TEU-ACC-07,TP-Link,TL-SG3428X,TP-Link TL-SG3428X,SN-TEU-SW-0013,,10.10.99.27,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 24x1G + 4x10G SFP+ | PoE: No,sw_router_ap||Inventario Switches
Switches,14,🟢 Acceso L2,Teusaquillo,Atención Cliente - P4,SW-TEU-ACC-08,TP-Link,TL-SG3428XMP,TP-Link TL-SG3428XMP,SN-TEU-SW-0014,,10.10.99.28,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 24x1G + 4x10G SFP+ | PoE: Sí (384W),sw_router_ap||Inventario Switches
Switches,15,🟢 Acceso L2,Teusaquillo,Ventas - P4,SW-TEU-ACC-09,TP-Link,TL-SG3428X,TP-Link TL-SG3428X,SN-TEU-SW-0015,,10.10.99.29,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 24x1G + 4x10G SFP+ | PoE: No,sw_router_ap||Inventario Switches
Switches,16,🟢 Acceso L2,Teusaquillo,Asesoría Legal - P4,SW-TEU-ACC-10,Cisco,CBS350-24T-4X,Cisco CBS350-24T-4X,SN-TEU-SW-0016,,10.10.99.30,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 24x1G + 4x10G SFP+ | PoE: No,sw_router_ap||Inventario Switches
Switches,17,🟢 Acceso L2,Teusaquillo,Logística - P5,SW-TEU-ACC-11,TP-Link,TL-SG3428XMP,TP-Link TL-SG3428XMP,SN-TEU-SW-0017,,10.10.99.31,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 24x1G + 4x10G SFP+ | PoE: Sí (384W),sw_router_ap||Inventario Switches
Switches,18,🟢 Acceso L2,Teusaquillo,I+D - P5,SW-TEU-ACC-12,TP-Link,TL-SG3428X,TP-Link TL-SG3428X,SN-TEU-SW-0018,,10.10.99.32,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 24x1G + 4x10G SFP+ | PoE: No,sw_router_ap||Inventario Switches
Switches,19,🔴 Core L3,Campus,DataCenter Principal,SW-CAM-CORE-01,Cisco,Catalyst 9500-48Y4C,Cisco Catalyst 9500-48Y4C,SN-CAM-SW-0001,,10.20.99.11,,,VLAN 999,✅ Activo,🔴 Core L3,Puertos: 48x25G + 4x100G QSFP28 | PoE: Sí,sw_router_ap||Inventario Switches
Switches,20,🔴 Core L3,Campus,DataCenter Respaldo,SW-CAM-CORE-02,Cisco,Catalyst 9500-48Y4C,Cisco Catalyst 9500-48Y4C,SN-CAM-SW-0002,,10.20.99.12,,,VLAN 999,✅ Activo,🔴 Core L3,Puertos: 48x25G + 4x100G QSFP28 | PoE: Sí,sw_router_ap||Inventario Switches
Switches,21,🔴 Core L3,Campus,Rack Backbone Campus,SW-CAM-CORE-03,MikroTik,CRS518-16XS-2XQ,MikroTik CRS518-16XS-2XQ,SN-CAM-SW-0003,,10.20.99.13,,,VLAN 999,✅ Activo,🔴 Core L3,Puertos: 16x25G SFP28 + 2x100G | PoE: No,sw_router_ap||Inventario Switches
Switches,22,🟠 Distribución L3,Campus,Rack Edificio A - P1,SW-CAM-DIST-01,MikroTik,CRS354-48G-4S+2Q+,MikroTik CRS354-48G-4S+2Q+,SN-CAM-SW-0004,,10.20.99.14,,,VLAN 999,✅ Activo,🟠 Distribución L3,Puertos: 48x1G + 4x10G + 2x40G | PoE: No,sw_router_ap||Inventario Switches
Switches,23,🟠 Distribución L3,Campus,Rack Edificio B - P1,SW-CAM-DIST-02,MikroTik,CRS354-48G-4S+2Q+,MikroTik CRS354-48G-4S+2Q+,SN-CAM-SW-0005,,10.20.99.15,,,VLAN 999,✅ Activo,🟠 Distribución L3,Puertos: 48x1G + 4x10G + 2x40G | PoE: No,sw_router_ap||Inventario Switches
Switches,24,🟠 Distribución L3,Campus,Rack Edificio C - P1,SW-CAM-DIST-03,MikroTik,CRS354-48G-4S+2Q+,MikroTik CRS354-48G-4S+2Q+,SN-CAM-SW-0006,,10.20.99.16,,,VLAN 999,✅ Activo,🟠 Distribución L3,Puertos: 48x1G + 4x10G + 2x40G | PoE: No,sw_router_ap||Inventario Switches
Switches,25,🟠 Distribución L3,Campus,Rack Edificio D - P1,SW-CAM-DIST-04,Cisco,C9300-48S,Cisco C9300-48S,SN-CAM-SW-0007,,10.20.99.17,,,VLAN 999,✅ Activo,🟠 Distribución L3,Puertos: 48x1G SFP + 4x10G SFP+ | PoE: No,sw_router_ap||Inventario Switches
Switches,26,🟠 Distribución L3,Campus,Rack Edificio E - P1,SW-CAM-DIST-05,Cisco,C9300-48S,Cisco C9300-48S,SN-CAM-SW-0008,,10.20.99.18,,,VLAN 999,✅ Activo,🟠 Distribución L3,Puertos: 48x1G SFP + 4x10G SFP+ | PoE: No,sw_router_ap||Inventario Switches
Switches,27,🟠 Distribución L3,Campus,Rack Auditorio,SW-CAM-DIST-06,MikroTik,CRS326-24G-2S+,MikroTik CRS326-24G-2S+,SN-CAM-SW-0009,,10.20.99.19,,,VLAN 999,✅ Activo,🟠 Distribución L3,Puertos: 24x1G + 2x10G SFP+ | PoE: No,sw_router_ap||Inventario Switches
Switches,28,🟢 Acceso L2,Campus,Contabilidad - EdA P1,SW-CAM-ACC-01,TP-Link,TL-SG3452XP,TP-Link TL-SG3452XP,SN-CAM-SW-0010,,10.20.99.21,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 48x1G + 4x10G SFP+ | PoE: Sí (600W),sw_router_ap||Inventario Switches
Switches,29,🟢 Acceso L2,Campus,RRHH - EdA P2,SW-CAM-ACC-02,TP-Link,TL-SG3452XP,TP-Link TL-SG3452XP,SN-CAM-SW-0011,,10.20.99.22,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 48x1G + 4x10G SFP+ | PoE: Sí (600W),sw_router_ap||Inventario Switches
Switches,30,🟢 Acceso L2,Campus,Mercadeo - EdB P1,SW-CAM-ACC-03,Cisco,CBS350-48P-4X,Cisco CBS350-48P-4X,SN-CAM-SW-0012,,10.20.99.23,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 48x1G + 4x10G SFP+ | PoE: Sí (370W),sw_router_ap||Inventario Switches
Switches,31,🟢 Acceso L2,Campus,Producción - EdB P2,SW-CAM-ACC-04,Cisco,CBS350-48P-4X,Cisco CBS350-48P-4X,SN-CAM-SW-0013,,10.20.99.24,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 48x1G + 4x10G SFP+ | PoE: Sí (370W),sw_router_ap||Inventario Switches
Switches,32,🟢 Acceso L2,Campus,Producción - EdB P3,SW-CAM-ACC-05,TP-Link,TL-SG3452XP,TP-Link TL-SG3452XP,SN-CAM-SW-0014,,10.20.99.25,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 48x1G + 4x10G SFP+ | PoE: Sí (600W),sw_router_ap||Inventario Switches
